date,board,type,name,status
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,John M Connolly,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Bruce M. Desmond,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Dennis M. Sullivan,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,William A. White Jr.,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,William M. Roche,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Maryann M. Heuston,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Thomas F. Taylor,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Sean T. O'Donovan,Absent
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Rebekah Gewirtz,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Robert C. Trane,Present
2012-04-26 19:00:00,Board of Aldermen,Regular Meeting,Tony Lafuente,Present
2012-04-26 18:30:00,Confirmation of Appointments Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-26 18:30:00,Confirmation of Appointments Committee,Committee Meeting,William M. Roche,Present
2012-04-26 18:30:00,Confirmation of Appointments Committee,Committee Meeting,Robert C. Trane,Present
2012-04-26 18:30:00,Confirmation of Appointments Committee,Committee Meeting,Sean T. O'Donovan,Absent
2012-04-26 18:30:00,Confirmation of Appointments Committee,Committee Meeting,Tony Lafuente,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Rebekah Gewirtz,Remote
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,John M Connolly,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,William A. White Jr.,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Thomas F. Taylor,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Frank Wright,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Dave Shapiro,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,David Lutes,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Sarah Kloos,Present
2012-04-24 18:00:00,Legislative Matters Committee,Committee Meeting,Omar Boukili,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Tony Lafuente,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Rebekah Gewirtz,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,John M Connolly,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Sean T. O'Donovan,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Thomas F. Taylor,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Omar Boukili,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Michael Glavin,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,George Proakis,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Dana LeWinter,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Stan Koty,Present
2012-04-24 17:30:00,Housing and Community Development Committee,Committee Meeting,Hayes Morrison,Present
2012-04-23 18:00:00,Land Use Committee,Committee Meeting,William A. White Jr.,Present
2012-04-23 18:00:00,Land Use Committee,Committee Meeting,Tony Lafuente,Present
2012-04-23 18:00:00,Land Use Committee,Committee Meeting,Sean T. O'Donovan,Present
2012-04-23 18:00:00,Land Use Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-04-23 18:00:00,Land Use Committee,Committee Meeting,George Proakis,Present
2012-04-23 18:00:00,Land Use Committee,Committee Meeting,Adam Duchesneau,Present
2012-04-18 20:00:00,Board of Aldermen,Special Meeting,John M Connolly,Present
2012-04-18 20:00:00,Board of Aldermen,Special Meeting,Bruce M. Desmond,Present
2012-04-18 20:00:00,Board of Aldermen,Special Meeting,Dennis M. Sullivan,Present
2012-04-18 20:00:00,Board of Aldermen,Special Meeting,William A. White Jr.,Present
2012-04-18 20:00:00,Board of Aldermen,Special Meeting,William M. Roche,Present
2012-04-18 20:00:00,Board of Aldermen,Special Meeting,Maryann M. Heuston,Present
2012-04-18 20:00:00,Board of Aldermen,Special Meeting,Thomas F. Taylor,Present
2012-04-18 20:00:00,Board of Aldermen,Special Meeting,Sean T. O'Donovan,Present
2012-04-18 20:00:00,Board of Aldermen,Special Meeting,Rebekah Gewirtz,Present
2012-04-18 20:00:00,Board of Aldermen,Special Meeting,Robert C. Trane,Present
2012-04-18 20:00:00,Board of Aldermen,Special Meeting,Tony Lafuente,Absent
2012-04-18 19:30:00,Finance Committee,Committee Meeting,Maryann M. Heuston,Present
2012-04-18 19:30:00,Finance Committee,Committee Meeting,William A. White Jr.,Present
2012-04-18 19:30:00,Finance Committee,Committee Meeting,John M Connolly,Present
2012-04-18 19:30:00,Finance Committee,Committee Meeting,Robert C. Trane,Present
2012-04-18 19:30:00,Finance Committee,Committee Meeting,Thomas F. Taylor,Present
2012-04-18 19:30:00,Finance Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-18 19:30:00,Finance Committee,Committee Meeting,William M. Roche,Present
2012-04-18 19:30:00,Finance Committee,Committee Meeting,Omar Boukili,Present
2012-04-18 19:30:00,Finance Committee,Committee Meeting,Doug Willardson,Present
2012-04-18 19:30:00,Finance Committee,Committee Meeting,Michael Glavin,Present
2012-04-18 19:30:00,Finance Committee,Committee Meeting,Robert King,Present
2012-04-18 19:30:00,Finance Committee,Committee Meeting,Ginger Barrett,Present
2012-04-18 19:30:00,Finance Committee,Committee Meeting,Stan Koty,Present
2012-04-18 18:30:00,Youth Services Committee,Committee Meeting,Maryann M. Heuston,Present
2012-04-18 18:30:00,Youth Services Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-18 18:30:00,Youth Services Committee,Committee Meeting,Dennis M. Sullivan,Absent
2012-04-18 18:30:00,Youth Services Committee,Committee Meeting,Nancy Bacci,Present
2012-04-18 18:30:00,Youth Services Committee,Committee Meeting,Corey Mashburn,Present
2012-04-18 18:30:00,Youth Services Committee,Committee Meeting,Jerry Morales,Present
2012-04-18 18:30:00,Youth Services Committee,Committee Meeting,Dan McLauglin,Present
2012-04-18 18:00:00,Public Health and Public Safety Committee,Committee Meeting,William A. White Jr.,Present
2012-04-18 18:00:00,Public Health and Public Safety Committee,Committee Meeting,William M. Roche,Present
2012-04-18 18:00:00,Public Health and Public Safety Committee,Committee Meeting,Rebekah Gewirtz,Present
2012-04-18 18:00:00,Public Health and Public Safety Committee,Committee Meeting,Sean T. O'Donovan,Present
2012-04-18 18:00:00,Public Health and Public Safety Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-18 18:00:00,Public Health and Public Safety Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-04-18 18:00:00,Public Health and Public Safety Committee,Committee Meeting,Omar Boukili,Present
2012-04-18 18:00:00,Public Health and Public Safety Committee,Committee Meeting,Michael Cabral,Present
2012-04-18 18:00:00,Public Health and Public Safety Committee,Committee Meeting,Eddie Nuzzo,Present
2012-04-12 19:00:00,Board of Aldermen,Regular Meeting,John M Connolly,Present
2012-04-12 19:00:00,Board of Aldermen,Regular Meeting,Bruce M. Desmond,Present
2012-04-12 19:00:00,Board of Aldermen,Regular Meeting,Dennis M. Sullivan,Present
2012-04-12 19:00:00,Board of Aldermen,Regular Meeting,William A. White Jr.,Present
2012-04-12 19:00:00,Board of Aldermen,Regular Meeting,William M. Roche,Present
2012-04-12 19:00:00,Board of Aldermen,Regular Meeting,Maryann M. Heuston,Present
2012-04-12 19:00:00,Board of Aldermen,Regular Meeting,Thomas F. Taylor,Present
2012-04-12 19:00:00,Board of Aldermen,Regular Meeting,Sean T. O'Donovan,Present
2012-04-12 19:00:00,Board of Aldermen,Regular Meeting,Rebekah Gewirtz,Present
2012-04-12 19:00:00,Board of Aldermen,Regular Meeting,Robert C. Trane,Present
2012-04-12 19:00:00,Board of Aldermen,Regular Meeting,Tony Lafuente,Absent
2012-04-12 18:00:00,Finance Committee,Committee Meeting,Maryann M. Heuston,Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,William A. White Jr.,Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,John M Connolly,Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,Robert C. Trane,Absent
2012-04-12 18:00:00,Finance Committee,Committee Meeting,Thomas F. Taylor,Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,Joseph Curtatone,Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,Doug Willardson,Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,Thomas Pasquarello,Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,"Peter Forcellese, Jr.",Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,Matthew Dias,Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,Stan Koty,Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,Frank Wright,Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,David Shapiro,Present
2012-04-12 18:00:00,Finance Committee,Committee Meeting,Omar Boukili,Present
2012-04-09 18:00:00,Housing and Community Development Committee,Committee Meeting,Tony Lafuente,Present
2012-04-09 18:00:00,Housing and Community Development Committee,Committee Meeting,Rebekah Gewirtz,Absent
2012-04-09 18:00:00,Housing and Community Development Committee,Committee Meeting,Dennis M. Sullivan,Absent
2012-04-09 18:00:00,Housing and Community Development Committee,Committee Meeting,Sean T. O'Donovan,Present
2012-04-09 18:00:00,Housing and Community Development Committee,Committee Meeting,Omar Boukili,Present
2012-04-09 18:00:00,Housing and Community Development Committee,Committee Meeting,Michael Glavin,Present
2012-04-09 18:00:00,Housing and Community Development Committee,Committee Meeting,Dana LeWinter,Present
2012-04-09 18:00:00,Housing and Community Development Committee,Committee Meeting,Stan Koty,Present
2012-04-05 18:30:00,Public Health and Public Safety Committee,Committee Meeting,William A. White Jr.,Present
2012-04-05 18:30:00,Public Health and Public Safety Committee,Committee Meeting,William M. Roche,Present
2012-04-05 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Rebekah Gewirtz,Absent
2012-04-05 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Tony Lafuente,Present
2012-04-05 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Sean T. O'Donovan,Present
2012-04-05 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Thomas Pasquarello,Present
2012-04-05 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Paulette Renault-Caragianes,Present
2012-04-05 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Omar Boukili,Present
2012-04-05 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Michael Glavin,Present
2012-04-05 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Eddie Nuzzo,Present
2012-04-05 18:00:00,Housing and Community Development Committee,Committee Meeting,Tony Lafuente,Present
2012-04-05 18:00:00,Housing and Community Development Committee,Committee Meeting,Rebekah Gewirtz,Absent
2012-04-05 18:00:00,Housing and Community Development Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-04-05 18:00:00,Housing and Community Development Committee,Committee Meeting,John M Connolly,Present
2012-04-05 18:00:00,Housing and Community Development Committee,Committee Meeting,William A. White Jr.,Present
2012-04-05 18:00:00,Housing and Community Development Committee,Committee Meeting,George Proakis,Present
2012-04-05 18:00:00,Housing and Community Development Committee,Committee Meeting,Dana LeWinter,Present
2012-04-05 18:00:00,Housing and Community Development Committee,Committee Meeting,Brad Rawson,Present
2012-04-05 18:00:00,Land Use Committee,Committee Meeting,William A. White Jr.,Present
2012-04-05 18:00:00,Land Use Committee,Committee Meeting,Tony Lafuente,Present
2012-04-05 18:00:00,Land Use Committee,Committee Meeting,Sean T. O'Donovan,Absent
2012-04-05 18:00:00,Land Use Committee,Committee Meeting,Rebekah L. Gewirtz,Present
2012-04-05 18:00:00,Land Use Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-04-05 18:00:00,Land Use Committee,Committee Meeting,John M Connolly,Present
2012-04-05 18:00:00,Land Use Committee,Committee Meeting,George Proakis,Present
2012-04-05 18:00:00,Land Use Committee,Committee Meeting,Dana LeWinter,Present
2012-04-05 18:00:00,Land Use Committee,Committee Meeting,Brad Rawson,Present
2012-04-04 18:00:00,Public Utilities and Public Works Committee,Committee Meeting,Sean T. O'Donovan,Present
2012-04-04 18:00:00,Public Utilities and Public Works Committee,Committee Meeting,Robert C. Trane,Absent
2012-04-04 18:00:00,Public Utilities and Public Works Committee,Committee Meeting,John M Connolly,Present
2012-04-04 18:00:00,Public Utilities and Public Works Committee,Committee Meeting,Omar Boukili,Present
2012-04-04 18:00:00,Public Utilities and Public Works Committee,Committee Meeting,Stan Koty,Present
2012-04-04 18:00:00,Public Utilities and Public Works Committee,Committee Meeting,Bill Zamparelli,Present
2012-04-04 18:00:00,Public Utilities and Public Works Committee,Committee Meeting,Stan Usovicz,Present
2012-04-02 19:15:00,Legislative Matters Committee,Committee Meeting,Rebekah Gewirtz,Present
2012-04-02 19:15:00,Legislative Matters Committee,Committee Meeting,John M Connolly,Present
2012-04-02 19:15:00,Legislative Matters Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-02 19:15:00,Legislative Matters Committee,Committee Meeting,William A. White Jr.,Present
2012-04-02 19:15:00,Legislative Matters Committee,Committee Meeting,Thomas F. Taylor,Present
2012-04-02 19:15:00,Legislative Matters Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-04-02 19:15:00,Legislative Matters Committee,Committee Meeting,Omar Boukili,Present
2012-04-02 19:15:00,Legislative Matters Committee,Committee Meeting,Frank Wright,Present
2012-04-02 19:15:00,Legislative Matters Committee,Committee Meeting,Doug Cress,Present
2012-04-02 19:15:00,Legislative Matters Committee,Committee Meeting,Dave Shapiro,Present
2012-04-02 19:00:00,Land Use Committee,Committee Meeting,William A. White Jr.,Present
2012-04-02 19:00:00,Land Use Committee,Committee Meeting,Tony Lafuente,Absent
2012-04-02 19:00:00,Land Use Committee,Committee Meeting,Sean T. O'Donovan,Absent
2012-04-02 19:00:00,Land Use Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-02 19:00:00,Land Use Committee,Committee Meeting,John M Connolly,Present
2012-04-02 19:00:00,Land Use Committee,Committee Meeting,Rebekah L. Gewirtz,Present
2012-04-02 19:00:00,Land Use Committee,Committee Meeting,George Proakis,Present
2012-04-02 19:00:00,Land Use Committee,Committee Meeting,Robert King,Present
2012-04-02 19:00:00,Legislative Matters Committee,Committee Meeting,Rebekah Gewirtz,Present
2012-04-02 19:00:00,Legislative Matters Committee,Committee Meeting,John M Connolly,Present
2012-04-02 19:00:00,Legislative Matters Committee,Committee Meeting,Bruce M. Desmond,Present
2012-04-02 19:00:00,Legislative Matters Committee,Committee Meeting,William A. White Jr.,Present
2012-04-02 19:00:00,Legislative Matters Committee,Committee Meeting,Thomas F. Taylor,Absent
2012-04-02 19:00:00,Legislative Matters Committee,Committee Meeting,Robert King,Present
2012-04-02 19:00:00,Legislative Matters Committee,Committee Meeting,George Proakis,Present
2012-03-29 18:00:00,Land Use Committee,Committee Meeting,William A. White Jr.,Present
2012-03-29 18:00:00,Land Use Committee,Committee Meeting,Tony Lafuente,Present
2012-03-29 18:00:00,Land Use Committee,Committee Meeting,Sean T. O'Donovan,Absent
2012-03-29 18:00:00,Land Use Committee,Committee Meeting,Omar Boukili,Present
2012-03-29 18:00:00,Land Use Committee,Committee Meeting,George Proakis,Present
2012-03-29 18:00:00,Land Use Committee,Committee Meeting,Brad Ross,Present
2012-03-29 18:00:00,Land Use Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-03-29 18:00:00,Housing and Community Development Committee,Committee Meeting,Tony Lafuente,Present
2012-03-29 18:00:00,Housing and Community Development Committee,Committee Meeting,Rebekah Gewirtz,Absent
2012-03-29 18:00:00,Housing and Community Development Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-03-29 18:00:00,Housing and Community Development Committee,Committee Meeting,William A. White Jr.,Present
2012-03-29 18:00:00,Housing and Community Development Committee,Committee Meeting,Omar Boukili,Present
2012-03-29 18:00:00,Housing and Community Development Committee,Committee Meeting,George Proakis,Present
2012-03-29 18:00:00,Housing and Community Development Committee,Committee Meeting,Brad Ross,Present
2012-03-28 18:00:00,Licenses and Permits Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-03-28 18:00:00,Licenses and Permits Committee,Committee Meeting,Robert C. Trane,Present
2012-03-28 18:00:00,Licenses and Permits Committee,Committee Meeting,Maryann M. Heuston,Present
2012-03-28 18:00:00,Licenses and Permits Committee,Committee Meeting,Eddie Nuzzo,Present
2012-03-22 19:00:00,Board of Aldermen,Regular Meeting,John M Connolly,Present
2012-03-22 19:00:00,Board of Aldermen,Regular Meeting,Bruce M. Desmond,Absent
2012-03-22 19:00:00,Board of Aldermen,Regular Meeting,Dennis M. Sullivan,Present
2012-03-22 19:00:00,Board of Aldermen,Regular Meeting,William A. White Jr.,Present
2012-03-22 19:00:00,Board of Aldermen,Regular Meeting,William M. Roche,Absent
2012-03-22 19:00:00,Board of Aldermen,Regular Meeting,Maryann M. Heuston,Present
2012-03-22 19:00:00,Board of Aldermen,Regular Meeting,Thomas F. Taylor,Present
2012-03-22 19:00:00,Board of Aldermen,Regular Meeting,Sean T. O'Donovan,Present
2012-03-22 19:00:00,Board of Aldermen,Regular Meeting,Rebekah Gewirtz,Present
2012-03-22 19:00:00,Board of Aldermen,Regular Meeting,Robert C. Trane,Present
2012-03-22 19:00:00,Board of Aldermen,Regular Meeting,Tony Lafuente,Present
2012-03-21 18:00:00,Land Use Committee,Committee Meeting,William A. White Jr.,Present
2012-03-21 18:00:00,Land Use Committee,Committee Meeting,Tony Lafuente,Present
2012-03-21 18:00:00,Land Use Committee,Committee Meeting,Sean T. O'Donovan,Absent
2012-03-21 18:00:00,Land Use Committee,Committee Meeting,Rebekah L. Gewirtz,Present
2012-03-21 18:00:00,Land Use Committee,Committee Meeting,Bruce M. Desmond,Present
2012-03-21 18:00:00,Land Use Committee,Committee Meeting,Thomas F. Taylor,Present
2012-03-21 18:00:00,Land Use Committee,Committee Meeting,John M Connolly,Present
2012-03-21 18:00:00,Land Use Committee,Committee Meeting,Maryann M. Heuston,Present
2012-03-21 18:00:00,Land Use Committee,Committee Meeting,George Proakis,Present
2012-03-21 18:00:00,Land Use Committee,Committee Meeting,Lori Massa,Present
2012-03-21 18:00:00,Land Use Committee,Committee Meeting,Robert King,Present
2012-03-21 18:00:00,Legislative Matters Committee,Committee Meeting,Rebekah Gewirtz,Present
2012-03-21 18:00:00,Legislative Matters Committee,Committee Meeting,John M Connolly,Present
2012-03-21 18:00:00,Legislative Matters Committee,Committee Meeting,Bruce M. Desmond,Present
2012-03-21 18:00:00,Legislative Matters Committee,Committee Meeting,William A. White Jr.,Present
2012-03-21 18:00:00,Legislative Matters Committee,Committee Meeting,Thomas F. Taylor,Present
2012-03-21 18:00:00,Legislative Matters Committee,Committee Meeting,Tony Lafuente,Present
2012-03-21 18:00:00,Legislative Matters Committee,Committee Meeting,Maryann M. Heuston,Present
2012-03-21 18:00:00,Legislative Matters Committee,Committee Meeting,George Proakis,Present
2012-03-21 18:00:00,Legislative Matters Committee,Committee Meeting,Lori Massa,Present
2012-03-21 18:00:00,Legislative Matters Committee,Committee Meeting,Robert King,Present
2012-03-19 18:30:00,Public Health and Public Safety Committee,Committee Meeting,William A. White Jr.,Present
2012-03-19 18:30:00,Public Health and Public Safety Committee,Committee Meeting,William M. Roche,Absent
2012-03-19 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Rebekah Gewirtz,Present
2012-03-19 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Tony Lafuente,Present
2012-03-19 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Thomas Pasquarello,Present
2012-03-19 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Kevin Kelleher,Present
2012-03-19 18:30:00,Public Health and Public Safety Committee,Committee Meeting,Eddie Nuzzo,Present
2012-03-12 18:00:00,Land Use Committee,Committee Meeting,William A. White Jr.,Present
2012-03-12 18:00:00,Land Use Committee,Committee Meeting,Tony Lafuente,Present
2012-03-12 18:00:00,Land Use Committee,Committee Meeting,Sean T. O'Donovan,Present
2012-03-12 18:00:00,Land Use Committee,Committee Meeting,John M Connolly,Present
2012-03-12 18:00:00,Land Use Committee,Committee Meeting,Dennis M. Sullivan,Present
2012-03-12 18:00:00,Land Use Committee,Committee Meeting,Rebekah L. Gewirtz,Present
2012-03-12 18:00:00,Land Use Committee,Committee Meeting,Maryann M. Heuston,Present
2012-03-12 18:00:00,Land Use Committee,Committee Meeting,George Proakis,Present
2012-03-12 18:00:00,Land Use Committee,Committee Meeting,Adam Duchesneau,Present
2012-03-08 19:00:00,Board of Aldermen,Regular Meeting,John M Connolly,Present
2012-03-08 19:00:00,Board of Aldermen,Regular Meeting,Bruce M. Desmond,Present
2012-03-08 19:00:00,Board of Aldermen,Regular Meeting,Dennis M. Sullivan,Present
2012-03-08 19:00:00,Board of Aldermen,Regular Meeting,William A. White Jr.,Present
2012-03-08 19:00:00,Board of Aldermen,Regular Meeting,William M. Roche,Present
2012-03-08 19:00:00,Board of Aldermen,Regular Meeting,Maryann M. Heuston,Absent
2012-03-08 19:00:00,Board of Aldermen,Regular Meeting,Thomas F. Taylor,Absent
2012-03-08 19:00:00,Board of Aldermen,Regular Meeting,Sean T. O'Donovan,Present
2012-03-08 19:00:00,Board of Aldermen,Regular Meeting,Rebekah Gewirtz,Present
2012-03-08 19:00:00,Board of Aldermen,Regular Meeting,Robert C. Trane,Present
2012-03-08 19:00:00,Board of Aldermen,Regular Meeting,Tony Lafuente,Present
2012-03-08 18:00:00,Environment and Energy Special Committee,Committee Meeting,Rebekah Gewirtz,Present
